comment,abusive,aggressor,logged_in,comment_len
"First of all, this fic is a so pretentious in all ways. I think you're the only person in this entire fandom who writes wangxian in such a heterosexual way if not extremely yaoi-trope-ish. Secondly, your title? What the fuck. I'm Chinese and it's so fucking funny to me, wrong in all ways and just contextually weird. Thirdly, all the wrongly used palace connotations, please do more research before you even ATTEMPT writing a genre you are not familiar with. Fourthly what the fuck is the characterization? Is this another 50 Shades of Grey wannabe?",1,troll1,0.0,550
"Sally I was so excited for your emperorji fic but I'm so sorry your characterization this time threw me off so badly, I'll have to pass >.<",1,troll1,0.0,139
"Huh, I thought you're always ""follow mxtx's rules!"" just to pull this concubine thing.......... it's okay if you have your preferred WangXian but don't be a hypocrite",1,troll1,0.0,166
Came in expecting a good research of palace fic. I even tried to close an eye on the emperor x concubine thing but even the palace convention is all wrong. Dropped.,1,troll1,0.0,164
"OH ARE THESE WANGXIAN? I thought I was reading a fic from a wrong fandom. The characters feel so different! Sorry, dropped.",1,troll1,1.0,124
"OH ITS A SELF-INSERT ALL ALONG, JUST LIKE WITH YOUR OTHER WORKS ",1,troll1,0.0,65
"I'm getting a REALLY hard time trying to visualize WWX as a man here because of how feminized you described him. I had to check the tags for heterosexuality but there's none. One thing, author. It can be your personal preference but I think it would be good to tag it properly for those who prefer to read WWX in a not so womanly description. You can write him as a woman in this fic and it wouldn't even feel out of place, but as a man, it feels REALLY out of place. It is better to add a disclaimer if not the fic feels like your a fetishising men.",1,troll1,0.0,550
Oh I see you know Chinese. It feels 娘娘腔 for the lack of better words.,1,troll1,0.0,69
But this author is so ooc I usually pretend I'm reading an og story because there's literally no resemblance to the og wangxian at all ,1,troll1,1.0,136
"I'M SO EXCITED TO READ THIS BECAUSE IT'S A MALEFICENT AU ONE OF MY FAVORITE!! BUT!!!!! The characterization is so bad it's so OOC that I feel like reading a Disney fanfic instead, it keeps breaking my immersions, why does LWJ speak so much and why does WWX act like a Disney OC princess... ",1,troll1,1.0,291
"All these whitewashing.............. hilarious you call yourself a chinese when you can't even differentiate between a western dragon and oriential dragon and it shows. please stfu if you don't know better instead of spreading misinformation, be a fucking responsible adult.",1,troll1,1.0,274
HOLY FUCK WWX IS SO FUCKING DUMB WHAT A CLOWN ,1,troll1,1.0,49
Can you please not tag WangXian it's a waste of time reading this. Please do not bait people with misleading tags ,1,troll1,1.0,119
"I'm so upset you hurt not only wangxian but LXC as well in your writing, what the fuck is this bullshit? The way wangxian are both so despicable because of your bullshit ""wangxian supremacy"" WHILE HURTING OTHER PEOPLE because oh it's all fun and games for them. The wangxian you write are SCUMS that their original selves would WHOLLY DESPISE. And you FUCKING SALLY, is the WORST SCUM of them all. I hope you never get laid your whole time, you homophobic fetishizer.",1,troll1,1.0,467
Please tag dark!LWJ and female!WWX. I have both tags blocked and it ruined my day seeing this in the tags ,1,troll1,0.0,108
"Hi, can you please tag dark!LWJ and wife!WWX? Need to have this blocked. Thanks ",1,troll1,1.0,82
DAMN I will freak out if I know someone like LWJ. Was so excited to read his POV but he's such a CREEP. This is unhealthy obsession oh GOD.,1,troll1,1.0,139
Cant accept wwx cheating a marriage on lwj the same way your lwj did to wwx in palace au. Such a disservice to their characters ugh.,1,troll1,0.0,132
Genuinely disgusted by LWJ EW what the FUCK SHSMS,1,troll1,1.0,49
Did you self-insert into wwx so much that you just let him marry without an explanation of if he's even in love ,1,troll1,1.0,113
"Huh.... Isn't the reason WWX likes LWJ is BECAUSE he's not a yandere? ""Want to bring someone back, but he does not want it"" LOL read lesser fanfics ",1,troll1,1.0,149
.....how does the dragon blood thingy work? It....doesn't make sense? It's the only thing bugging me in this fic and IMO it kind of ruined the whole thing......,1,troll1,1.0,160
"Tried really hard to like this fic since you have a nice writing style but erm.
LWJ aside, your WWX is very...feminine? ""His"" body language and dialogues and the position you put him in make it very hard to imagine him as WWX. I've dropped out of immersion too many times to count, it honestly feels like a projection of a typical female character or a typical uke character from stereotypical yaoi tropes.",1,troll1,1.0,406
"Heaven's Will what The romance is kinda forced but the Heaven's Will totally broke me, well done ",1,troll1,1.0,100
"Felt rushed. But other than that, a pretty okay story ",1,troll1,1.0,56
"Have been looking forward to this chapter! Thank you! Ive been trying to put my hands on why I feel out of place and it could be the abrupt plot device you added? It gives a feeling as if you just only cooked these up without proper feeling in advance and thus makes it feel out of nowhere, felt forced just for the angst (if that's your intent?). It kinds broke the immersion but other than that, thank you!",1,troll1,1.0,408
"Hm, something I can't make sense is how is wwx's strength incompatible to his personality? I can't quite imagine how he can be so submissive when he should be inherently strong. I feel you might want to present power wwx but it still feels too forced ",1,troll1,1.0,253
"Ah damn, I had too high of an expectation when you said you were low-key sobbing but it felt anti-climatic to me, and I only have myself to blame... I was expecting more but... you don't mean the sobbing as to what happened to LJY, right...?",1,troll1,1.0,241
Isn't a yuan supposed to be a Wen? did you stripe him off his ancestry ,1,troll1,1.0,72
I find it ooc for wwx to let lan yuan call him a-niang? Didn't he say he didn't like it in the novel?,1,troll1,1.0,101
Still confused how LWJ and WWX fall for each other. WWX is... Stockholm Syndome? What about LWJ? Because WWX is pretty?,1,troll1,1.0,119
"The romance felt...forced? I can't explain, but it falls short a lot in this story. I can barely feel anything between them.",1,troll1,1.0,124
Would like it better if LWJ didn't get nerfed just to power up WWX....,1,troll1,1.0,70
"The twist was so predictable I could already guessed it's just wwx being dumb and judgemental to have misunderstood a person he supposedly loved and obviously LWJ and LZ are the same people, it's obvious. But I'm disappointed at the lack of clarification on how it happened, there's no buildup to it at all, same goes with the Lans being evil lol. Another thing that made absolutely no sense is why did WWX ask LQY to kiss LZ when LZ already told him he's his true love? WWX should've known LQR wouldn't work, is he that dumb...? There's so many things you described in this fic but what the characters do contradict all of them, that's kinda poor storytelling and confuse people so easily (even though I think your readers most likely don't think hard when they read since you're so infamous for shallow relationship and storytelling). I read this fic with a group of friend because of the premise but we got so disappointed with the blatant copying of the original Maleficent, no creativity at all!",1,troll1,1.0,1002
"Came in to read WangXian, but the characters feel like Disney characters instead it makes wonder if I'm reading WangXian or a Disney book LZ feels so much like a typical Disney prince than being LZ, WWX is just your typical damsel Disney princess too ",1,troll1,1.0,254
Can you please tag dark LWJ and tape and non con and feminization ,1,troll1,1.0,67
At this point I'm convinced you have forgotten all about mdzs canon ,1,troll1,1.0,69
"Uhm, this fic reads like a Hollywood Mulan? In a way like you tried to incorporate some Chinese period stuff into it but it just... doesn't hit the right spot. It feels very westernized and one can tell from the way you wrote the narration, ESPECIALLY the way you wrote the characters narration. A lot of Chinese values are lost in your writing, and I am saying this as a native mainland Chinese .You seem to be appealing mostly to the Western crowd and you yourself seem to have been influenced by Western upbringing which takes away the immersion of the story, it is as if you are forcing your Westernized idea into what is supposed to be a Chinese setting. The nuance is not there, the characters are thinking in a too-western way, the values, oh boy, the values are all lost. There are too much projections going on here that I just can't indulge in the fic.",1,troll1,0.0,862
This reads like the typical kind of story you find in a collection of English stories about a couple who's getting married. You can simply change the names to someone else and they would fit just fine. There no uniqueness in the way you write WWX and LWJ as if they are just placeholders. I can barely recognize them regardless of whichever chatacterization you took them from. They read very much like two English random peopel to me. Perhaps you should consider writing original stories instead of stealing exposure from the fandom by using characters names that don't even fitwhat you're trying to write.,1,troll1,1.0,607
Cant feel wwx and lwj at all. Very western style of writing. Everything feels western. You might be Chinese but you're possibly influenced by so much western ideas now that everything you write just feels western. It feels hilarious to see you using Chinese titles when you are already long disconnected with your own culture. So pretentious lol. And of course your 腿毛 will defend you. 作文？笑死了，一看这用词就知道对中文一知半解还敢拿出来秀，脸皮厚也有个限度吧，我这个华人看着都为你尴尬,1,troll1,1.0,438
Was wondering why is this fic so ooc just to realize it had the novel tagged. Can you not tag the novel? It's misleading and tricking people into wasting time reading something that is completely not what they are looking for.,1,troll1,0.0,226
can you not tag this as the novel. I came in for the novel characterization just to see how ooc it is. Same goes to your other fics. Please get out of the novel tag and leave it as CQL only. They're two different things. Thanks.,1,troll1,0.0,228
"As a chinese I can't help but feel second hand embarrassment for you because you chinese is so... broken. Even the way you try to incorporate the idioms feel so out of place, and you clearly don't know a lot about the genre to be writing this and it shows. Knowing chinese doesn't mean you know the genre, author, at the very least don't spread misinformation.",1,troll1,0.0,361
"OH GOD can you not tag this as mdzs???? The characterizations are all wrong, please stop baiting people who only want to read mdzs characters JEEZ",1,troll1,0.0,146
"Your lwj is kinda... ooc? he turned flat into a typical character you can easily find in any English shows, pretty much lost his own nuance Also you shouldn't tag WangXian if they are not going to end up together...",1,troll1,1.0,219
Hope you get brain cancer- but then guessing from this fic- u most likely already do so i hope ur loved ones get brain cancer for u- if someone loves u that is.,1,troll2,0.0,160
"Literally everyone is a helicopter parent'
Then proceeds not to show JC- JL'S actual parent because the writer needs to make Wwx look good",1,troll2,0.0,138
Post this again on tweet to gain sympathy- go ooonnn don't be shy attention seeker.,1,troll2,0.0,83
"Just saying, wouldn't have read this if u tagged right- i guess u could tag porn right but didn't have enough braincells to actually tag an 'emotional' story of wwx pretending he was sad just so he could just get attention. Ur 'case fic' is just the juniors doing WWX's bidding",1,troll2,0.0,277
I'm a jc stan- i wanted to puke reading that- really? U literally only have wwx stans complimenting u on the comments- some of them hating on jc because of how u wrote them. I'm a JC stan. Yes and ur also a great and amazing person who doesn't deserve to die- instead its ur loved ones who will die instead,1,troll2,0.0,307
"""Hope this doesn't drag u down because u have writing talent"" thats true- writing porn that is. Ur probably a prostitute irl- not that theres anything wrong with that- just sad that people would pay u for something as disgusting as u",1,troll2,0.0,234
my first comments r literally right- u posted on tweet just to gain attention n sympathy but u didn't acrually say its wrong- mainly because its right n u wer just looking for attention- guess thats why u wrote a story like this. Oh woe is u. I hope ur entire family dies so that u can have more sympathy posts,1,troll2,0.0,311
"Oh woe is wwx, the world revolves arnd me n i must pretend to b sad so that people would notice me",1,troll2,0.0,98
"
JL calling wwx dajiu- what happens next? Dead people r resurrected just so that Wwx has his happy ending",1,troll2,0.0,105
I literally see someone named wangxian stan commenting on ur fic n people writing shit abt jc. JC stan my asss,1,troll2,0.0,111
U should've just stayed depressed,1,troll2,0.0,33
"What a piece of shit u are dear author, i hope someone precious to you dies- maybe ir parents?",1,troll2,0.0,94
"Do u have any pets? Or siblings? Or maybe ur an orphan? Good for u if u are, I'd pity ur family if u have one",1,troll2,0.0,109
kill urself please,1,troll2,0.0,18
"Yunmeng reco? Lemme guess Wwx: oh woe is me and my twinky ass, I'm sorry for all my sins even though im right n ur wrong n u should just forgive me Jc: okay lets ignore trauma n abandonment issues, I'm sorry too i guess for being betrayed and left behind- ur forgiven",1,troll2,0.0,270
What a piece of shit of an author n a story,1,troll2,0.0,43
Jc stans hate the fic n wwx love it yet u call urself a jc stan ew,1,troll2,0.0,66
Yuck wwx stan,1,troll2,0.0,13
Ew,1,troll2,0.0,2
Ewwwww,1,troll2,0.0,6
"From the way you write jc and glorify wwx- you got victim blamer written all over you. Hope someone treats you badly, betrays you and disrespects your entire family and then you can see them being glorifies for their actions and honestly I'd be one of those glorifying them cause you are definitely a bad and stupid person in rl- they'd probably do it willingly for a thousand times.",1,troll2,0.0,384
tag appropriately,1,troll2,0.0,17
"wwx stans get away from reco fics- or even xicheng fics. Self centered people writing a story centered on one person but affects a lot of people- using only one point of view- great just great. jc gonna come out next- suddenly realizing that he should just forgive and then inviting wx to lp so that they could disrespect him more- jc begging for forgiveness for whatever sins u people think he committed- jc being a stepping stool to make the mains look good- what a great read Put JC bashing in ur tags, wwx centric, jl bashing, canon divergence where u disregard the entire relationship of jl and jc, and the relationship between jc and yunmenh jiang cause apparently the next ur gonna do is make wwx the next sect leader. And put wwx worshipper- wouldn't have come across this if only u had tagged appropriately",1,troll2,0.0,818
Imagine trying to write as if wwx was having an emotional struggle hahahahahahhhah oh well privileged people problems- probably the ones who announce their mental gealth problem on twitter or sns in order to gain sympathy,1,troll2,0.0,221
Love just how everything absolutely works out for wwx- like the author is really trying sooooooo hard to make it seem like WWX is having a hard time when everything around him is falling into place and practically all work is done for him. Keep trying though but you'll need a few more braincells for that.,1,troll2,0.0,307
Ewwwwwwwww So JL just suddenly calls wwx uncle- wow you're characters really are just here to make the main look good. Ew just ew Wht the fuck is wrong with wangxian stans- ignoring the entire canon and making JL someone like this- just ewwwwwwwwwwwww,1,troll2,0.0,257
"Ugh how awful can one fic be? You explored every character except JC and you painted every single one of them as good and only pointed out JC bad sides. What a fucking disgusting story- I want to fuckinv puke just reading it- really hope JC just abandons all of them and its not a reco one but its on the tag- honesrly I expected a bit of wwx's perspective but I didn't expect that it would be all him since you did say that its a reco fic. WN had more screen time than JC- and what's worse is that he was having a good time and that JL was even friends with him. Its almost like the entire fic was written to make WWX look good and for everything to work out for him. Every other character is just there to make him look good. OC disicples who admire him and protect him? Rumor spreading peeps who are there to make him show emotion- JL being a fucking doormat and only having good emotions towards WWX- the only time he has negative emotions is when WWX is there to comfort him and to make himself look like a good uncle- despite being the reason he was an orphan. And of course the ever faithful LZ- and then what Jingyi is there to insult JC so that WWX can defend him and make himself look like he cared? Whats next JC being a doormat and forgiving WWX, inviting him to the home he rebuilt alone? Or JC being a human being and getting mad only for others to defend him and make JC look bad and WWX look like a helpless defenselss uwu baby like the typical wangxian stan you are. Use proper tags- had you tagged it as WWX centric and note that everyone is just there to make him look good- i wouldn't have even thought of reading this- but noooo- you wrote a Yunmeng Reconciliation fic with only WWX's point of view and making all things look good for him. No one adresses the fact that WN had yelled abuse towards JC despite having no right to and despite the fact that JC's entire ancestry had just been insulted. Heck you made JL even a lacky of his. Like eww I hope your not half as disgusting as your story is because most likely you would've caused a new pandemic if you were. Rinse your brain of stupidity and in the first place- you recieved bad comments simply because the story is bullshit- you shouldn't have continued writing it. Even me who never once wrote a comment when I disliked something just had to write something. Ew, just ew. Arrange your tags and note that despite having a fic centered on the main characters- you only have a few hits- a few kudos- and loots of comments. Think.",1,troll2,0.0,2513
"Reread this again and its still as awful as it was- worse it got updated. Wen Ning was a rude ass bitch who had no right to do what he did but then you write him as someone who deserves something? Worse, making JL go along with it? Like no ones gonna face the consequences of their actions here- its all unicors and rainbows desperately painted grey depsite it not being a sad story at all. Like why? WN has a happy moment and JL gives it to him but JC has no mention here. I hope you don't go through the reconciliation plan- thats the best route for here- hope JC just says its all in the past and leave then to stew in their sins. But then seeing how you're writing if that ever happens- let me guess JL sides with WN and WWX and abandons his uncle? Cause thats just how biased you are? And JC is left alone and dies alone? Thats better than having fake people by his side. There is absolutely no route for reconciliation here because you just spent the entire story painting WWX as a good guy not even a complicated one- just the typical uwu misunderstood good guy- uwu so cute. What a fucking joke for a fic- delete my comment if you want- no changing that its true.",1,troll2,0.0,1175
"Saw this on twitter and had wanted to read it since it was you- an author I'm already familiar with and one I know isn't a JC hater- at least I thought you weren't but then you proved me wrong by writing this fucking bullshit!!!! JC raised JL but suddenly he's abandoned for THE SAINT AND SAVIOUR WEI WUXIAN YAY THE MAN COULD DO NOW WRONG AND IS ABSOLUTELY GREAT- not the man who killed his parents- no complicated feelings whatsoever. You write WWX as if he's struggling- FUCK YOU AND GO FUCKING KILL YOURSELF-or stick to writinv porn- you don't have enough braincells to process a stpry when you're only siding with the main character. Oh pooor wwx but then everything he wants falls to his lap and you write him as if he's struggling- oh pooooorr baby- has a legion of juniors to defend him, a husband, he's alive depsite his crimes- oh woe is he who practically has everything- now its JC left and the man, who lost everything, must be the one to do something about WWX's feelings of unrest- oh my gosh WWX has to do all the work here. The worst part is JL really relying on him even though he has his jiujiu- in fact there is no mention of the man unless its convenient for WWX- not for JL. Fuck you bitch go fucking kill yourself- or as i said stick to porn- you're better at it. I don't hate wangxian but the way you write them- worship them- wangxian stans are really the toxic parts of this fandom. We, JL stans may be few, but we know at least that post canon it won't be WWX he'd be relying on- lik what the fuck is wronv with you- why are you so stupid- you should never just have updated this. Better- just delete this or delete yourself. You get a lot of good comments but thats from wangxian stans as blind as you- WWX THE LORD AND SAVIOR stans- please commit suicide and do this world a fucking favor. People would pay for people like you to kill themselves- I'm one of them- but that's a waste of money because cockroaches don't die and thats just unfortunate. JL relying on WWX? What a fucking joke! Like ewwww I wish I never pressed on this- wish I could delete it from my mind. People praising your character developement? It's called OOC- jiujiu was mentioned once in 3 chapters because apparently the murderer of his parents are now JL's entire support system and not the man who raised him. FUCK YOU KILL YOURSELF- I HOPE YOU DO THIS WORLD A FAVOR.",1,troll2,0.0,2377
"does it really count as a full account, though, if the reason jiang cheng lost his core was not revealed? ultimately though i understand understand what you were trying to portray i still feel like this comes across as biased towards lwj and wwx - after all, jiang cheng ended up having to reveal the core transfer to the general public and publicly forgive wwx for his crimes against him, and lwj does not even have the face to apologize out loud! i suppose that is in character for them, however, so kudos, i guess, for reaffirming how upsetting these characters are.",1,troll2,0.0,570
oh uh chaotic ~lesbian~ wont you explain why ur writing self insert m/m fics to drool on a dickhaver???? sounds hmmmmm concerning u know its ok to be bi right tho its not ok to act like jc would put his dick near that disgusting roach pls do better next time,1,troll3,1.0,267
"thinking jiang cheng would put his dick near that loser
thinking jiang cheng would ""babysit"" i see the lobotomy went well",1,troll3,1.0,122
smell radiating from this sewage ,1,troll3,1.0,46
"""chaotic lesbian"" yet obsessed with cocks, how hmmm believable ",1,troll3,1.0,66
ooooooo cockhungry fake dyke strikes agaiinnnnnn,1,troll3,0.0,48
"""mixture of cql and book canon"" ew lmao, can you nhs kinnies at least have the decency to keep it to untamed shit? actual jc wouldnt touch that ugly loser with a ten foot pole LMAO",1,troll3,0.0,180
"wow it looks like desperate losers moved on from copying jgy's personality nd chengyao dynamic to nhs nd ""sangcheng"" to copying wwx's personality and chengxian like?? have you considering not being disgusting instead?",1,troll3,1.0,217
lmao self insert less u ugly freak,1,troll3,1.0,34
oh yeah i remember how he was such a seductive slut in the book when he was smeaing snot and tears on nmjs boots while he was begging him,1,troll3,1.0,137
"""wedding planner jc"" ""sangcheng"" damn pick a fucking struggle ffs..",1,troll3,1.0,67
damn if u rly r spending all ur time on this workthless crack... ,1,troll3,,71
nhs kinnies not just lobotomized but also clinically insane i see,1,troll3,1.0,65
OMGGG ROLLROLL HEYYY GIRLL how have u beeeennn are u still having nervous breakdowns when ppl acknowledge that youre female ,1,troll3,1.0,132
YIKES i didnt wanna see u fantasize abt having jcs babies ewwwwww gtfo w ur deformed face,1,troll3,1.0,89
still i just think you werent bullied enough for being half horse half rat freak bc you still seem to have the nerve to exist. how odd,1,troll3,,134
ok but you just never clarified - how can ANYONE have teeth too big for their mouths???? LIKE???? and making rat noises????? are you sure youre human???? waiting eagerly for the feedback ,1,troll3,,188
"imagine doing this instead of living like a normal dude. an extremely ugly dude but still no one died from it. i mean you SHOULD, but get my drift lol",1,troll3,0.0,150
how's hrt going? thinner beard by any chance?,1,troll3,1.0,45
"a ""GirL"" wAnTs tO bLocK love the new photo btw! kinda amazing that anyone would want to display theyre a hideous middle aged tranny to everyone, but alas",1,troll3,1.0,158
"""one of the few fics that I either abandoned or deleted that I will be uploading here once more, so they can see the light of day"" why would you ever do that, you surely abandoned them for a reason? dont regress like this just embrace ur growth ",1,troll3,0.0,246
"""lady"" nie should def keep that shit to himself nd im sure nothing can look more ridiculous than that entity in drag this is so fucking funny thank u ",1,troll3,0.0,153
"Lmao, very realistic idea of nhs being a beta, if only you had enough sense to ship jc with someone who isn't so worthless..",1,troll3,0.0,124
you know you only have these ~gender~ issues bc you dont fit beauty standards and youre trying to escape that you're deeply unattractive by creating a different category for yourself? im sorry youre a joke even among transes ,1,troll3,1.0,227
"""dolled up huaisang"" Lmfao, of course a hideous loser who wanna cut her boobs off and pretend to be a dude would be disgusting enough to write that unironically, my condolences to anyone who has to be exposed to ur stench irl ",1,troll3,1.0,236
